Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Singapore,SGP,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.39717776,27.27651047,24.77485368,24.5014074,22.80539556,24.01922349,22.21392569,21.24379777,22.20025782,..
New Zealand,NZL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,113.687912,112.9433136,112.4110794,120.2663193,116.8931885,117.5954285,114.7749329,113.3959885,114.2310562,..
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,8695272058,9252833891,9637904521,10349300277,10174386857,11078787090,13316161002,14331722703,14251642235,..
St. Martin (French part),MAF,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,83.555,88.553,82.801,82.186,81.281,80.007,79.282,79.431,77.814,..
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.63,85.878,86.084,86.151,86.089,85.113,85.746,86.372,86.497,..
St. Martin (French part),MAF,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,37.763,51.502,37.053,37.082,37.044,37.047,37.074,37.099,36.577,..
Mozambique,MOZ,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,27.0062,29.4852,32.5121,30.1741,27.9273,31.1371,35.6836,34.318,33.6256,..
Algeria,DZA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,51.64151429,48.26759226,46.4568595,44.62956179,42.94935768,39.14626629,35.0979537,37.61687651,41.0980756,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,26755.60611,28381.34256,30602.42129,29786.52457,27233.94265,30799.47759,30319.49872,33493.22254,35326.76831,..
Djibouti,DJI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.70879029,22.63666996,24.20307842,24.93900989,21.0582071,24.10611765,25.79841901,23.36205501,23.23966429,..
Burkina Faso,BFA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,233.03,229.534,226.174,223.516,220.096,237.911,225.147,214.071,207.425,..
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.051115782,1.992577987,1.952741536,1.923857027,1.961993798,1.976319881,1.93837687,1.923274337,1.891827897,..
Portugal,PRT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.058,8.878,6.966,6.422,6.85,6.712,6.138,6.498,6.427,5.855
Switzerland,CHE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.0951309,103.9000626,104.1880264,104.0711136,104.2116165,103.6051865,103.3923569,102.9655914,101.4287109,..
Uzbekistan,UZB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,5.855263291,5.390866921,10.9356669,9.338315313,3.475085812,8.125302603,5.569142923,6.655129553,7.240322833,..
Germany,DEU,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5,65.4771,64.8481,63.3601,61.1892,59.1435,58.624,57.5822,55.6814,55.5066,..
Zambia,ZMB,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,7.7151,7.7707,7.7342,8.2797,7.9879,7.9191,8.5247,8.1074,8.6696,..
Fiji,FJI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.18202295,..,92.08067599,91.87605885,91.54163361,93.95505855,95.30683397,98.54017764,98.09276303,..
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.87000084,25.51040077,36.27130127,47.03229904,54,62,64.54000092,64.39800262,65.59269714,..
Greenland,GRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.76504771,40.69223375,44.4545789,41.0427005,35.96582364,34.0554689,40.79008715,40.79864217,..,..
Jordan,JOR,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,1.1162,1.1082,1.1079,1.1071,1.0823,1.1047,1.1141,1.1363,1.148,..
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.19350273,1.474467616,1.877968474,2.442890045,-4.792983908,6.254456865,3.956237976,1.714121955,1.07045413,..
Slovenia,SVN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,115.2169418,114.5955963,113.5561676,111.3695679,110.359169,108.1788788,107.8748093,107.6268768,..,..
Turkmenistan,TKM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,99.90000153,..,..,..
North Macedonia,MKD,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.377081308,5.636721114,5.421452359,6.042439702,5.543002515,5.565468447,5.904803812,5.782365402,5.378382215,..
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.78737302,-1.819750351,2.633850991,5.513790575,-12.03679309,1.50218071,7.95904805,0.517705525,-1.545251983,..
South Africa,ZAF,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,263.469,254.61,245.332,234.54,255.531,298.193,223.504,212.621,234.184,..
Solomon Islands,SLB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.153,68.351,68.54,68.75,67.776,67.626,69.141,69.217,69.356,..
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.136,73.435,73.985,74.165,73.509,71.635,74.141,74.496,74.657,..
Brazil,BRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,185.917,178.99,173.671,167.856,183.092,220.459,183.793,168.837,169.804,..
Hungary,HUN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,79.709,80.586,77.647,75.172,78.363,..,..,..,..,..
Turks and Caicos Islands,TCA,Urban population,SP.URB.TOTL,35306,36886,38517,40119,41366,42278,42955,43395,43821,..
Viet Nam,VNM,Population growth (annual %),SP.POP.GROW,1.259883665,1.244204736,1.107913952,0.968366699,0.927434296,0.868883561,0.750756665,0.671429251,0.631267006,..
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895,62.074,..
Dominican Republic,DOM,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5,10.3602,10.5567,10.7877,11.0186,11.2949,11.6421,11.9481,12.0401,12.1775,..
Vanuatu,VUT,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,0.5611,0.5289,0.595,0.5873,0.6227,0.6658,0.6476,0.6226,0.6321,..
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,26.5,25.1,23.8,22.7,21.5,20.5,19.6,18.7,17.9,..
Solomon Islands,SLB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,157.771,156.962,155.788,154.279,158.469,176.427,148.654,146.609,144.424,..
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,7.572769061,12.96463137,4.466290895,2.480075298,-27.72554301,52.09736918,17.04248798,8.554102599,0.109727605,..
Turkiye,TUR,"Population, female",SP.POP.TOTL.FE.IN,39553942,40082878,40641328,41243483,41670659,42082196,42526426,42719404,42833032,..
"Congo, Dem. Rep.",COD,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,6.9816,7.0315,6.6213,6.826,7.1135,7.4257,7.3464,7.1449,7.4813,..
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,305227020.3,292148590.1,287998352.1,282041290.3,261688507.1,231343460.1,243826812.7,276733062.7,..,..
Seychelles,SYC,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,210.589,209.708,209.847,210.225,209.745,206.855,204.651,192.366,198.11,..
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.015,11.078,8.322,6.551,7.389,7.483,6.811,6.121,5.033,..
Suriname,SUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,55.41238798,21.99694302,..,..,34.88978431,59.11966263,52.44602728,51.58731596,16.22961591,..
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,160.68927,158.6702881,156.5097656,156.635376,151.7275085,143.1635132,142.9180756,142.9602661,..,..
Montenegro,MNE,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,4.1,3.8,3.5,3.3,3.1,2.9,2.8,2.6,2.5,..
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4909322200,5166281293,5530178499,5941896600,5655357984,6060813808,6660161212,7241244269,..,..
Iraq,IRQ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,46.18250206,51.32968146,54.16994275,53.10940328,39.90409722,54.60888777,65.27212456,53.96048516,51.57177018,..
Solomon Islands,SLB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,199.741,196.883,194.188,191.057,200.755,217.512,186.358,185.462,183.762,..
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.302198237,4.292633631,1.806874983,2.689466581,-10.57381386,3.365902424,2.937347072,2.772840772,1.126388977,..
Togo,TGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,121.4769135,119.4056942,117.8363245,117.7477467,119.2668309,116.9713859,118.4231675,116.3354655,114.2727735,..
Belize,BLZ,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.2608,0.2847,0.2846,0.3982,0.3186,0.3361,0.3545,0.3756,0.3889,..
Tunisia,TUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.117231964,2.252614376,2.606969654,1.55009305,-8.975126229,4.736036482,2.75228761,0.184015548,1.61444565,..
Tuvalu,TUV,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,0.0038,0.0038,0.0038,0.0039,0.004,0.004,0.0041,0.0041,0.0041,..
Oman,OMN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,111.5944,111.9854,115.489,116.7032,113.284,119.5484,127.5937,130.2486,132.2647,..
Angola,AGO,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.762749087,2.494923158,2.251485798,2.199453589,1.888103518,1.928676955,1.909222524,1.857985705,1.845620511,..
Colombia,COL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.71713928,15.14528975,15.89971968,15.86803865,13.52227556,16.19700595,20.38836799,17.83167841,16.09929872,..
Palau,PLW,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,67.460808,70.4749607,72.22970697,74.53084616,75.08992806,78.13642243,82.36387184,82.47306369,86.67985307,..
Suriname,SUR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.324,74.53,74.798,75.08,76.22,72.14,76.5,76.835,76.979,..
Grenada,GRD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,110.742,109.935,109.239,108.553,107.833,114.074,106.378,105.663,106.926,..
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.874190383,0.64040915,1.068858113,2.452802141,2.437608822,2.271857625,6.247677133,7.382813843,4.533313497,..
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.799,72.721,73.151,72.941,72.388,72.062,74.462,69.339,71.121,..
Sierra Leone,SLE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,3.192,..,..,..,..,..,..,..
Zimbabwe,ZWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.755794059,4.734411178,5.009921543,-6.33244976,-7.816950602,8.468016768,6.139263276,5.350868791,1.742395249,..
Ireland,IRL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.12216015,21.26748936,20.90427646,20.0073714,21.07095523,21.06756126,21.32977971,18.87995486,19.58373983,..
Ireland,IRL,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,3.8,3.7,3.7,3.7,3.7,3.8,4,4.1,4.1,..
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
